Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
The Punisher,"La dernière mission de Frank Castle, agent spécial du FBI, tourne mal : le fils de Howard Saint, magnat de la pègre, est tué. Ivre de colère, Saint organise le massacre de Frank et de toute sa famille. Mais ce dernier survit et crie vengeance...","9 juin 2004
","
2h 04min
","
Action","
Jonathan Hensleigh","
Thomas Jane,

John Travolta,
Rebecca Romijn","2,0",--
Kadaver,"Pendant une famine post-apocalyptique, un dîner-spectacle attire les foules dans un hôtel. Mais une famille découvre qu'elle paiera nettement plus que le prix du billet.","23 octobre 2020
","
1h 26min
","
Drame,
Epouvante-horreur","
Jarand Breian Herdal","
Gitte Witt,
Thomas Gullestad,
 Thorbjørn Harr","4,1",--
Le Bateau,"Pendant la deuxième Guerre Mondiale, 40 000 sous-mariniers allemands envoyés par Hitler embarquent pour une mission de routine dans l'Atlantique Nord. L'insouciance règne à bord. Ce qu'ils ne savent pas, c'est que seuls 10 000 hommes retourneront chez eux vivants.","17 février 1982
","
3h 30min
","
Drame,
Guerre","
Wolfgang Petersen","
Jürgen Prochnow,
Erwin Leder,
Herbert Grönemeyer","4,1",--
Ludwig - Le crépuscule des Dieux,"Évocation du règne de Louis II de Bavière, protecteur des arts (et en particulier mécène de Richard Wagner qui lui dut son salut et la possibilité de réaliser ses plus belles œuvres) et de la complicité presque amoureuse qui le lie avec sa cousine Sissi.","15 mars 1973
","
3h 57min
","
Biopic,
Drame,

Historique","
Luchino Visconti","
Helmut Berger,
Romy Schneider,
Silvana Mangano","3,7",--
Le Fils de Saul,"Auschwitz, 1944 : un prisonnier contraint à brûler les corps de ses congénaires trouve le salut en préservant des flammes le corps d'un enfant qu'il prend pour son fils.","4 novembre 2015
","

1h 47min
","
Drame,
Thriller,
Guerre","
László Nemes","
Géza Röhrig,
Sándor Zsótér,
Marcin Czarnik",--,"4,1"
La Boum 2,"Vic a maintenant 15 ans. Elle revient d'un voyage en Autriche, retrouve ses copains de lycée et fait la connaissance du beau Philippe...","8 décembre 1982
","
1h 47min
","
Comédie","
Claude Pinoteau","
Sophie Marceau,
Pierre Cosso,
Brigitte Fossey",,
Miracle en Alabama,"A la suite d'une maladie, Helen Keller, une petite fille de sept ans, perd l'usage de la parole, de la vue et de l'ouïe. Ses parents font alors appel à Annie Sullivan, une jeune éducatrice, pour ramener l'enfant à une vie normale. Mais celle-ci va devoir face à l'hostilité d'Helen et de ses parents effrayés par ses méthodes.","10 octobre 1962
","
1h 46min
","
Biopic,
Drame","
Arthur Penn","
Anne Bancroft,
Patty Duke,
Victor Jory",,
Freddy - Les Griffes de la nuit,"Freddy Krueger, un personnage étrange, hante les nuits des adolescents afin de les tuer dans leur sommeil...","12 mai 2010
","
1h 35min
","
Epouvante-horreur","
Samuel Bayer","
Jackie Earle Haley,
Kyle Gallner,
Rooney Mara","1,5","2,2"
L'Homme qui rétrécit,"A la suite d'une contamination radioactive, un homme voit avec effarement son corps diminuer de taille. A tel point qu'il devient la proie d'un chat puis d'une araignée. Courageusement, il part à la découverte de son univers.","17 mai 1957
","
1h 21min
","
Drame,
Fantastique,
Epouvante-horreur","
Jack Arnold","
Grant Williams,
Randy Stuart,
Paul Langton","4,1",--
Meurtres en Cotentin,"Dans un étang pris dans les brumes de la lande du Cotentin en Normandie, le corps d’un homme est retrouvé flottant sur un lit de genêts. Plusieurs témoins disent aussi avoir croisé une femme rousse vêtue de blanc à proximité des lieux du crime, peut-être la Dame Blanche ?","1 février 2020
","
1h 30min
","
Policier","
Jérémy Minui","
Chloé Lambert,
Léa François,
 Lannick Gautry",--,"1,9"
La Vengeance au triple galop,"Les aventures pour le moins rocambolesques d’une femme qui tâche non sans mal de prendre son destin en main. Stephanie Harper, riche héritière assez disgracieuse, épouse Craig Danners, sans se douter qu'il n’en veut qu’à son argent. Non content d'avoir une liaison torride avec Crystal Clear, la meilleure amie de Stephanie, il profite d'une sortie à cheval pour provoquer un accident et la laisser pour morte au fond d’un ravin... Mais Stephanie, miraculeusement sauvée, va décider de se venger.","4 octobre 2021
","
1h 30min
","
Comédie","
Alex Lutz,
Arthur Sanigou","
Alex Lutz,
Audrey Lamy,
Leïla Bekhti","2,6","2,6"
Street dancers,"Elgin et David font partie d'une petite troupe qui souhaite ouvrir son propre studio de hip-hop. Lorsqu'une autre formation les provoque dans un duel de break dancing, ils décident de créer et de perfectionner des mouvements hors du commun...","2 juin 2004
","
1h 35min
","
Comédie,
Musical","
Christopher B. Stokes,
Chris Stokes","
Marques Houston,
Omari Grandberry,
Jarell Houston","2,6",--
Night Teeth,"Un jeune chauffeur conduit deux mystérieuses inconnues de soirée en soirée. Mais à mesure que leur véritable nature se révèle, il doit se battre pour rester en vie.","20 octobre 2021
","
1h 48min
","
Action,
Fantastique,
Thriller","
Adam Randall","
Jorge Lendeborg Jr.,
Debby Ryan,
Lucy Fry",--,"3,1"
The Aeronauts,"En 1862, une tête brûlée, pilote de ballon, Amelia Rennes, s'associe au pionnier de la météorologie James Glaisher, pour faire progresser les connaissances en matière d'intempéries et voler plus haut que n'importe qui dans l'histoire.","19 décembre 2019
","
1h 41min
","
Aventure,
Biopic","
Tom Harper (III)","
Eddie Redmayne,
Felicity Jones,
Tom Courtenay","2,8",--
Un hôtel pour deux à Noël,"Amanda travaille à Miami et gère plusieurs établissements pour le compte des hôtels Horton. Elle rentre exceptionnellement à Hollybush, sa ville natale, pour passer Noël avec Eileen, sa grand-mère. Suite à un bug informatique à l'agence de location, elle est contrainte de faire la route du retour en compagnie de Lucas Manzino, un ancien ...","1 décembre 2020
","
1h 28min
","
Romance","
Jesse D. Ikeman","
Jonna Walsh,
Jesse Hutch,
Jayne Eastwood","3,2",--
Car sauvage est le vent,Un riche éleveur du Nevada épouse la soeur de sa femme après la mort de cette dernière. Ils connaitront de nombreux drames sentimentaux avant de consolider leur union.,"5 février 1958
","
1h 54min
","
Drame","
George Cukor","
Anna Magnani,
Anthony Quinn,
Anthony Franciosa","3,9",--
The Young Lady,"1865, Angleterre rurale. Katherine mène une vie malheureuse d’un mariage sans amour avec un Lord qui a deux fois son âge. Un jour, elle tombe amoureuse d’un jeune palefrenier qui travaille sur les terres de son époux et découvre la passion.","12 avril 2017
","
1h 29min
","
Drame,
Historique,
Romance","
William Oldroyd","
Florence Pugh,
Cosmo Jarvis,
Paul Hilton","3,1",--
De l'ombre à la lumière,"Durant la Grande Dépression, Jim Braddock, ancien boxeur, est appelé à combattre le deuxième challenger mondial et gagne au troisième round. Malgré son poids inférieur à celui de ses adversaires et ses blessures répétées, il accumule les victoires...","14 septembre 2005
","
2h 24min
","
Action,
Drame,
Historique","
Ron Howard","
Russell Crowe,
Renée Zellweger,
Paul Giamatti",--,"1,9"
X-Men Origins: Wolverine,"Ce film nous fait découvrir les origines du plus rebelle des héros Marvel et son histoire avant les événements de la trilogie ""X-Men"". Hugh Jackman reprend son rôle fétiche de héros au pouvoir de régénération convoité par l'armée...","29 avril 2009
","
1h 45min
","
Action,
Fantastique,
Science Fiction","
Gavin Hood","
Hugh Jackman,
Danny Huston,
Liev Schreiber","3,9","3,8"
L'Enfance nue,"Après plusieurs tentatives auprès de familles d'accueil, un gamin de l'Assistance publique trouve compréhension et reconfort auprès d'un vieux couple. Malheureusement, il provoque un accident de circulation. Il est envoyé dans un centre de redressement...","22 janvier 1969
","
1h 23min
","
Drame","
Maurice Pialat","
Michel Terrazon,
Linda Guntenberg,
Raoul Billerey",,
Ticks,"Un groupe d'adolescents part à la campagne et découvre un labo de stéroïdes anabolisants installé dans une vieille cabane. Lorsque les ados brisent par accident un des récipients, son contenu se déverse sur un nid de tiques. Celles-ci voient leur taille et leur force augmenter...","27 septembre 2022
","
1h 25min
","
Epouvante-horreur","
Tony Randel,
Antonio Margheriti","
Rosalind Allen,
Amy Dolenz,
Seth Green",,
'71,"Belfast, 1971. Tandis que le conflit dégénère en guerre civile, Gary, jeune recrue anglaise, est envoyé sur le front. La ville est dans une situation confuse, divisée entre protestants et catholiques. Lors d’une patrouille dans un quartier en résistance, son unité est prise en embuscade.","2 septembre 2014
","
1h 44min
","
Action,
Drame,
Guerre","
Yann Demange","
Jack O'Connell,

Paul Anderson,
Sam Reid",,
Amityville,"George et Kathy Lutz emménagent avec leurs trois enfants dans la maison d'Amityville, convaincus d'avoir trouvé la résidence de leurs rêves. Mais des événements bizarres et inexplicables ne tardent pas à troubler leur quotidien...","22 juin 2005
","
1h 29min
","
Epouvante-horreur","
Andrew Douglas","
Ryan Reynolds,
Melissa George,
Jesse James","2,4","2,3"
Crisis,"L’arrestation à la frontière canadienne d’un passeur en possession d’une cargaison d’un puissant anti-douleur opioïde déclenche une série d’évènements incontrôlables. Désormais compromise, l’opération sous couverture d’un agent du FBI se complique encore avec la vendetta d’une ancienne addicte.","11 août 2021
","
1h 58min
","
Thriller","
Nicholas Jarecki","
Gary Oldman,
Greg Kinnear,
 Evangeline Lilly","2,7",--
La Revanche des humanoïdes,"Sur le chemin du retour d’une mission de routine, Pierrot, Psi et leur robot Métro assistent à un étrange phénomène dans l’espace : de gigantesques vaisseaux s’assemblent afin de réaliser des exercices de tir. La puissance déployée est gigantesque ! Mais lorsque nos héros décident d’en rendre compte à la confédération d’Oméga, leur vaisseau est pris dans une turbulence. Ils échouent alors sur une planète hostile. Psi est capturée par des humanoïdes tandis que Pierrot est sauvé par un groupe d’hommes qui vit secrètement dans les montagnes...","26 janvier 1983
","
1h 39min
","
Aventure,
Animation,
Science Fiction","
Albert Barillé","
Charlton Heston,
Henry Fonda,
James Coburn",--,"3,5"
La Bataille de Midway,"Juin 1942, les forces japonaises s'apprêtent à lancer une offensive surprise sur la base américaine du Midway, en plein coeur du Pacifique. L'armée US, qui vient d'apprendre l'existence de ce plan, se prépare à contreattaquer.","30 octobre 2001
","
2h 12min
","
Action,
Drame,
Guerre","
Jack Smight","
Elizabeth Berkley,
Kyle MacLachlan,
Gina Gershon","2,4",--
Showgirls,"Sans famille, sans amis et sans argent, Nomi Malone débarque à Las Vegas pour réaliser son rêve : devenir danseuse. A peine arrivée, elle se fait voler sa valise par l'homme qui l'a prise en stop. Perdue dans la ville, Nomi doit son salut à Molly Abrams, costumière au «Cheetah», un cabaret réputé de la ville.","10 janvier 1996
","
2h 11min
","
Drame,
Erotique","
Paul Verhoeven","
Dean Cain,
David Vaughn,

Stormi Maya",--,"2,8"
2050,Un père de famille qui a du mal à joindre les deux bouts découvre un salon caché qui offre une solution… les sexbots.,"25 août 2021
","
1h 44min
","
Drame,
Fantastique,
Science Fiction","
Rick Rosenthal","
Jamie Lee Curtis,
Donald Pleasence,
Charles Cyphers","3,1","3,5"
Halloween 2,"Michael Myers, échappé de l'hôpital psychiatrique, sème de nouveau la terreur dans la petite ville d'Haddonfield. Les habitants fêtent Halloween, la nuit des sorcières et la police a bien du mal à démasquer le meutrier.","16 juin 1982
","
1h 31min
","
Epouvante-horreur,

Thriller","
Rémi Bezançon","
Louise Bourgoin,
Pio Marmaï,
Josiane Balasko","3,9",--
Un Heureux Événement,"Adapté du livre d'Eliette Abecassis, ""Un heureux événement"" brise les tabous de la maternité via le journal intime tragi-comique d'une jeune femme qui devient mère.","28 septembre 2011
","
1h 50min
","
Comédie dramatique","
Robert Enrico","
Michael York,
Jacques Penot,
Brigitte Fossey","2,5",--
Au nom de tous les miens,"Seul de sa famille à survivre au ghetto de Varsovie, Martin Gray s'engage dans l'Armée rouge. Déserteur, il émigre aux Etats-Unis ou il devient un homme riche et puissant. Il décide alors de fonder une famille dans le midi de la France.","9 novembre 1983
","
2h 25min
","
Biopic,
Drame,
Historique","
Philippe Harel","
Benoît Poelvoorde,
Karin Viard,
Vincent Elbaz","3,7",--
Les Randonneurs,Deux filles et trois garçons partent en randonnée sur l'île de Beauté. La difficulté des chemins escarpés de la Corse va les révéler à eux-mêmes.,"12 mars 1997
","
1h 35min
","
Comédie","
Patrick Hughes (II)","
Ryan Reynolds,
Samuel L. Jackson,
Gary Oldman","2,4",--
Hitman & Bodyguard,"Le meilleur garde du corps au monde est engagé pour protéger un tueur à gages. Ensemble, ils ont 24 heures pour rejoindre La Haie avant de se faire attraper par un dictateur d'Europe de l'Est et ses sbires.","23 août 2017
","
1h 58min
","
Action,
Comédie","
Bertrand Blier","
Jean Dujardin,
Albert Dupontel,
Anne Alvaro","3,0",--
Le Bruit des glaçons,"C'est l'histoire d'un homme qui reçoit la visite de son cancer. "" Bonjour, lui dit le cancer, je suis votre cancer. Je me suis dit que ça serait peut-être pas mal de faire un petit peu connaissance... ""","25 août 2010
","
1h 27min
","
Comédie dramatique","
Albert Dupontel","
Albert Dupontel,
Claude Perron,
Nicolas Marié","3,6",--
Enfermés dehors,Un SDF trouve un uniforme de flic et le met pour manger dans les cantines de police...,"5 avril 2006
","
1h 28min
","
Comédie","
 Costa-Gavras","
José Garcia,
Karin Viard,
Ulrich Tukur",--,
Le Couperet,"Bruno Davert est un cadre très supérieur dans une usine de papier. S'étant fait licencier avec quelques centaines de ses collègues pour cause de délocalisation, il est prêt à tout pour retrouver un poste à son niveau, même à tuer ses concurrents.","2 mars 2005
","
2h 02min
","
Comédie,
Drame,
Thriller","
Norman Ferguson,
Ben Sharpsteen,

Bill Roberts","
Renée Dandry,
Dickie Jones,
Evelyn Venable",,
Pinocchio,"Aidé de la fée bleue, Gepetto parvient à insuffler la vie à sa dernière marionnette qu'il nomme Pinocchio.","1 juin 1946
","
1h 28min
","
Animation,
Famille,
Fantastique",,,,
Solaris,"A bord d'une station orbitale, un médecin mène des recherches sur le comportement étrange de deux scientifiques. Lui-même est victime d'une force mystérieuse qui le met en présence de celle qu'il a aimée autrefois et qui a mis fin à ses jours.","19 février 2003
","
1h 34min
","
Drame,
Romance,
 Science Fiction","
Steven Soderbergh","
George Clooney,
Natascha McElhone,
Viola Davis","3,7","2,3"
La Dernière tentation du Christ,"L'évocation de la vie de Jésus Christ, écartelé entre son humanité et sa divinité.","28 septembre 1988
","
2h 44min
","
Drame,
Historique","
Martin Scorsese","
Willem Dafoe,
Harvey Keitel,
Barbara Hershey","4,0","3,3"
La Famille Claus 2,Jules Claus s'est réconcilié avec Noël et prépare la saison la plus chargée de l'année avec son grand-père. Tout se déroule comme prévu jusqu'à ce que Jules reçoive une lettre un peu particulière contenant une question qui l'intrigue.,"7 décembre 2021
","
1h 37min
","
Comédie,
Famille","
Ruben Vandenborre","
Bracha van Doesburgh,
Mo Bakker,
Jan Decleir","2,8",--
The Rocky Horror Picture Show,"Leur voiture en panne, Janet et Brad se réfugient sous une pluie battante dans une mystérieuse maison. Ses occupants se livrent à de bien étranges expériences.","14 avril 1976
","
1h 40min
","
Comédie,
Musical,
Comédie musicale","
Jim Sharman","
Tim Curry,
Susan Sarandon,

Barry Bostwick",--,"3,3"
Le Tour du monde en 80 jours,"Passepartout, un ouistiti naïf mais plein d’entrain, rêve de partir à l’aventure depuis toujours. L’occasion se présente sous la forme de Phileas Frog, un explorateur vanneur et arnaqueur, et d’un pari à plusieurs millions : établir le nouveau record du tour du monde en 80 jours.","4 août 2021
","
1h 23min
","
Aventure,
Animation,
Famille","
Samuel Tourneux","
Damien Ferrette,

Damien Ferrette,
Julien Crampon",--,"2,3"
Safer at Home,"Nous sommes en 2022, la pandémie de coronavirus a transformé Los Angeles en un impitoyable état policier. Pour échapper à la triste réalité du confinement, un groupe d’amis décide d’organiser une fête en ligne. Afin de se mettre dans l’ambiance, chacun prend une pilule d’ecstasy. Mais lorsque les effets de la drogue commencent à se manifester, la situation dégénère terriblement et devient plus terrifiante encore que le chaos qui règne dans les rues.","2 juin 2022
","
1h 22min
","
Epouvante-horreur,
Thriller","
Will Wernick","
Jocelyn Hudon,
Emma Lahana,
Alisa Allapach","3,0","3,9"
American Honey,"Star, une adolescente, quitte sa famille dysfonctionelle et rejoint une équipe de vente d'abonnements de magazines, qui parcourt le midwest américain en faisant du porte à porte. Aussitôt à sa place parmi cette bande de jeunes, dont fait partie Jake, elle adopte rapidement leur style de vie…","8 février 2017
","
2h 43min
","
Comédie,
Drame","
Andrea Arnold","
Sasha Lane,
Shia LaBeouf,
Riley Keough","3,7","3,2"
Ammonite,1840. Mary Anning prend en pension l'épouse convalescente d'un de ses clients fortunés. C’est le début d’une histoire d’amour passionnée qui défiera toutes les barrières sociales et changera leurs vies à jamais.,"5 octobre 2021
","
1h 58min
","
Drame,
Romance","
Francis Lee","
Kate Winslet,
Saoirse Ronan,
Fiona Shaw","2,0",--
Kadaver,"Pendant une famine post-apocalyptique, un dîner-spectacle attire les foules dans un hôtel. Mais une famille découvre qu'elle paiera nettement plus que le prix du billet.","23 octobre 2020
","
1h 26min
","
Drame,
Epouvante-horreur","
Jarand Breian Herdal","
Gitte Witt,
Thomas Gullestad,
Thorbjørn Harr","3,6",--
Oscar et la Dame Rose,La Dame Rose partage les derniers jours d'un enfant atteint d'un cancer...,"9 décembre 2009
","
1h 45min
","
Drame","
Eric-Emmanuel Schmitt","
Michèle Laroque,
Amir Ben Abdelmoumen,
Amira Casar","3,8",--
Le monde de Nathan,"Nathan est un adolescent souffrant de troubles autistiques et prodige en mathématiques. Il tisse pourtant une amitié étonnante avec son professeur anticonformiste Mr. Humphreys, qui le pousse à intégrer l’équipe britannique et participer aux prochaines Olympiades Internationales de Mathématiques.","8 octobre 2014
","
1h 51min
","
Comédie,
Drame","
Morgan Matthews","
Asa Butterfield,
Rafe Spall,

Sally Hawkins","3,5",--
Les Parapluies de Cherbourg,"Madame Emery et sa fille Geneviève tiennent une boutique de parapluies. La jeune femme est amoureuse de Guy, un garagiste. Mais celui-ci part pour la guerre d'Algérie. Enceinte et poussée par sa mère, Geneviève épouse Roland, un riche bijoutier.","19 février 1964
","
1h 31min
","
Comédie musicale","
Jacques Demy","
Catherine Deneuve,
Nino Castelnuovo,
Anne Vernon",--,"4,2"
"Moi, Christiane F. ..13 ans, droguée et prostituée","Christiane, une jeune berlinoise de treize ans, vit très mal le divorce de ses parents et entretient une relation compliquée avec sa mère. Elle rêve de s’intégrer à une bande d'amis et de s'en approprier les codes. Lorsqu'elle sort en boîte de nuit pour la première fois, la descente aux enfers de Suzanne commence: la drogue puis la prostitution vont venir ternir le reste de sa jeunesse.","24 juillet 1981
","
2h 18min
","
Biopic,
Drame","
Uli Edel","
Natja Brunckhorst,
Thomas Haustein,
Christiane Lechle",--,"3,4"
2046,"Un écrivain écrit sur l'an 2046, pensant qu'il s'agit du futur alors que c'est en réalité le passé. Dans son roman, un train emmène parfois en 2046 des voyageurs voulant retrouver leurs souvenirs perdus. Seul l'un d'entre eux en était revenu.","20 octobre 2004
","
2h 09min
","
Drame","
Wong Kar-Wai","
Tony Leung Chiu-Wai,
Gong Li,
Takuya Kimura",,
Grave Encounters,"Lance Preston et l’équipe de l’émission Grave Encounters, une télé-réalité autour de la chasse aux fantômes, tournent un épisode dans l’hôpital psychiatrique abandonné de Collingwood où, chaque année, surviennent des événements inexpliqués.","26 janvier 2012
","
1h 32min
","
Epouvante-horreur","
Colin Minihan,
Stuart Ortiz","
Sean Rogerson,
Ashleigh Gryzko,

Merwin Mondesir",,
Grave Encounters,"Lance Preston et l’équipe de l’émission Grave Encounters, une télé-réalité autour de la chasse aux fantômes, tournent un épisode dans l’hôpital psychiatrique abandonné de Collingwood où, chaque année, surviennent des événements inexpliqués.","26 janvier 2012
","
1h 32min
","
Epouvante-horreur","
Colin Minihan,
Stuart Ortiz","
Sean Rogerson,
Ashleigh Gryzko,

Merwin Mondesir",,
Top Secret!,"Nick Rivers, une star américaine du rock and roll, participe à Berlin-Est à un festival culturel international. Ce rassemblement est en fait l'instrument d'un complot fomenté par un groupe de néo-nazis nostalgiques. Nick participe, à sa façon, à la résistance qui s'organise.","26 septembre 1984
","
1h 28min
","
Aventure,
Comédie","
Jim Abrahams,
David Zucker,
Jerry Zucker","
Val Kilmer,
Peter Cushing,
Omar Sharif","3,6",--
The Rocky Horror Picture Show,"Leur voiture en panne, Janet et Brad se réfugient sous une pluie battante dans une mystérieuse maison. Ses occupants se livrent à de bien étranges expériences.","14 avril 1976
","
1h 40min
","
Comédie,
Musical,
Comédie musicale","
Jim Sharman","
Tim Curry,
Susan Sarandon,
Barry Bostwick",--,"3,4"
Possession,"Rentrant d'un long voyage, Marc retrouve à Berlin sa femme Anna et son fils, Bob. Mais rapidement, il se rend compte que le comportement de sa femme a changé. Prise de violentes crises, elle quitte le domicile. L'amie du couple, Annie, révèle à Marc le nom de l'amant d'Anna, Heinrich. Lorsqu'elle disparaît, Marc engage un détective qui découvre bientôt qu'Anna s'est réfugiée dans une étrange demeure où semble se cacher une créature surgie des ténèbres...","27 mai 1981
","
 2h 02min
","
Drame,
Epouvante-horreur","
Andrzej Zulawski","
Isabelle Adjani,
Sam Neill,
Margit Carstensen","4,3","3,9"
Django,"Un homme mystérieux arrive dans une petite ville, tirant un cercueil boueux derrière lui. Nommé Django, cet étranger sauve la vie d’une jeune femme et se retrouve ainsi projeté en plein cœur d’une guerre entre des révolutionnaires mexicains et une bande de racistes sadiques menés par un fanatique, le major Jackson. Malgré le chaos ambiant, Django met son plan en action : se venger, en opposant ennemi contre ennemi...","9 novembre 1966
","
1h 32min
","
Western","
Sergio Corbucci","
Franco Nero,
José Bódalo,
Loredana Nusciak","1,8",--
Le Virtuose,"Un tueur professionnel se voit confier par son patron une dernière mission pour laquelle il ne dispose que de deux informations : le lieu – un restaurant dans une petite ville, et l’horaire – 17 heures. Lorsqu’il arrive sur place, il y a plusieurs cibles potentielles, dont un policier. Afin d’identifier sa proie, il se lance dans une véritable chasse à l’homme, et met sa vie en danger.","24 mai 2022
","
1h 50min
","
Thriller","
Nick Stagliano","
Anthony Hopkins,
Anson Mount,
Abbie Cornish","3,8",--
À l'origine,"En France, aujourd'hui, un petit escroc sans envergure réussit à se faire passer pour un chef de chantier responsable de la construction d'un tronçon d'autoroute. Il va duper toute une région...","11 novembre 2009
","
2h 10min
","
Drame","
Xavier Giannoli","
François Cluzet,
Emmanuelle Devos,
Gérard Depardieu","3,5",--
Turbo,"Turbo est un escargot qui n’a qu’un seul rêve en tête : être incroyablement rapide ! Son obsession pour la vitesse l’a rendu quelque peu impopulaire chez les siens, où lenteur et prudence sont de rigueur. Mais il est hors de question pour lui de se conformer.","16 octobre 2013
","
1h 36min
","
Aventure,
Animation,
Comédie","
David Soren","
Laurent Lafitte,
Ryan Reynolds,
Frantz Confiac","3,4",--
Le Père Noël,"En cette nuit de Noël, Antoine, six ans, n’a qu’une idée en tête : rencontrer le Père Noël et faire un tour de traîneau avec lui dans les étoiles. Alors quand celui-ci tombe comme par magie sur son balcon, Antoine est trop émerveillé pour voir en ce Père Noël un cambrioleur déguisé...","10 décembre 2014
","
1h 21min
","
Aventure,
Comédie,
Famille","
Alexandre Coffre","
Tahar Rahim,
Victor Cabal,

Annelise Hesme","2,4",--
Madame,"Anne et Bob, un couple d’américains fortunés récemment installé à Paris, s’apprêtent à donner un grand dîner, et convient douze invités triés sur le volet, réunissant la haute société anglaise, française et américaine.","22 novembre 2017
","
1h 30min
","
Comédie dramatique,
Romance","
Amanda Sthers","
Toni Collette,
Harvey Keitel,
Rossy de Palma","3,1",--
La Miséricorde de la Jungle,"1998, région du Kivu, à la frontière entre le Congo et le Rwanda. Alors que la deuxième guerre du Congo fait rage, le sergent Xavier, héros de guerre rwandais, et le jeune soldat Faustin perdent la trace de leur bataillon. Ils se retrouvent alors isolés et sans ressources pour faire face à la jungle la plus vaste, la plus dense, et la plus hostile du continent.","24 avril 2019
","
1h 31min
","
Drame,
Guerre","
Joël Karekezi","
Marc Zinga,
Stéphane Bak,
Ibrahim Ahmed dit Pino","3,7",--
Hitman & Bodyguard,"Le meilleur garde du corps au monde est engagé pour protéger un tueur à gages. Ensemble, ils ont 24 heures pour rejoindre La Haie avant de se faire attraper par un dictateur d'Europe de l'Est et ses sbires.","23 août 2017
","
1h 58min
","
Action,
Comédie","
Patrick Hughes (II)","
Ryan Reynolds,
Samuel L. Jackson,
Gary Oldman",--,"4,3"
Jusqu'au bout du monde,"À l'aube du XXIe siècle, alors que la Terre est menacée par un satellite atomique dont on a perdu le contrôle, Claire Tourneur va parcourir le monde à la poursuite de Trevor McPhee dont elle est amoureuse.","23 octobre 1991
","
3h 00min
","
Drame,
Science Fiction","
Wim Wenders","
Solveig Dommartin,
Pietro Falcone,
Enzo Turrin","2,6","3,2"
The Normal Heart,"Une adaptation de la pièce The Normal Heart, qui décrit la montée en puissance du virus du sida dans les années 80 et le combat d'un écrivain-activiste, Ned Weeks, fondateur d'un groupe d'aide luttant contre la maladie.","3 décembre 2014
","
2h 12min
","
Drame","
Ryan Murphy","
Mark Ruffalo,
Julia Roberts,

Matt Bomer","2,6","2,6"
Escobar,"Impitoyable et cruel chef du cartel de Medellin, Pablo Escobar est le criminel le plus riche de l’Histoire avec une fortune de plus de 30 milliards de dollars. ""L’empereur de la cocaïne"" met la Colombie à feu et à sang dans les années 80 en introduisant un niveau de violence sans précédent dans le commerce de la drogue.","18 avril 2018
","
2h 03min
","
Biopic,
Drame","
Fernando León de Aranoa","
Javier Bardem,
Penélope Cruz,
Peter Sarsgaard",,
Street dancers,"Elgin et David font partie d'une petite troupe qui souhaite ouvrir son propre studio de hip-hop. Lorsqu'une autre formation les provoque dans un duel de break dancing, ils décident de créer et de perfectionner des mouvements hors du commun...","2 juin 2004
","
1h 35min
","
Comédie,
Musical","
Christopher B. Stokes,
Chris Stokes","
Marques Houston,
Omari Grandberry,
Jarell Houston",,
The Call,"Une adolescente est kidnappée par un tueur en série. Pour la sauver, une opératrice d'un centre d'appel d'urgences va affronter ses propres peurs liées à une tragédie de son passé.","29 mai 2013
","
1h 35min
","
Action,
Thriller","
Brad Anderson","
Halle Berry,
Abigail Breslin,
Morris Chestnut","2,6","3,6"
Les Profs 2,"Les pires Profs de France débarquent en Angleterre pour une mission ultra-secrète. Avec Boulard, le Roi des cancres, ils sont parachutés dans le meilleur lycée du pays, et ils vont appliquer leurs célèbres méthodes sur la future élite de la nation.","1 juillet 2015
","
1h 32min
","
Comédie","
Pierre-François Martin-Laval","
Kev Adams,
Isabelle Nanty,
Didier Bourdon","2,3","1,9"
The House of the Devil,"Samantha, une mignonne collégienne qui répond à une offre de gardienne d'enfants, question de ramasser de l'argent pour son nouvel appartement. Son amie sceptique Megan l'amène en voiture à travers les bois et la laisse devant une gigantesque maison victorienne ayant comme propriétaire un vieux couple étrange avec des plans particuliers pour ...","8 septembre 2010
","
1h 33min
","
Epouvante-horreur","
Ti West","
Jocelin Donahue,
 Tom Noonan,
Mary Woronov","4,0","2,2"
Ouvre les yeux,"César, un jeune homme de 25 ans, est enfermé dans une unité psychiatrique carcérale. Un psychiatre l'aide à prendre connaissance des circonstances qui l'ont amené à commettre un meurtre.","18 novembre 1998
","
1h 57min
","
Fantastique,
Thriller","
Alejandro Amenábar","
Eduardo Noriega,
Penélope Cruz,
Fele Martínez","4,0",--
L'ange secret de Noël,"A Pine River, chaque année au moment des fêtes de Noël, ""Le sapin de l'ange"" apparaît pendant la nuit sur la place de la ville. Les habitants écrivent leurs vœux qu'ils suspendent au sapin et un mystérieux bienfaiteur, connu uniquement sous le nom de ""L'ange"" fait en sorte qu'ils soient exaucés. Rebecca, journaliste et originaire de Pine ...","15 décembre 2021
","
1h 26min
","
Romance","
Jessica Harmon","
Jill Wagner,
Lucas Bryant,
Cassidy Nugent",--,"5,0"
